,namePlayer,value
191,Lauri Markkanen,6731508.0
192,Lauri Markkanen,9026852.0
193,Nikola Vucevic,26000000.0
194,Nikola Vucevic,24000000.0
195,Nikola Vucevic,22000000.0
196,Noah Vonleh  W,97261.0
197,Patrick Williams,7068360.0
198,Patrick Williams,7422000.0
199,Patrick Williams,7775400.0
200,Patrick Williams,9835881.0
201,Patrick Williams,12973527.0
202,Ryan Arcidiacono,3000000.0
203,Ryan Arcidiacono,3000000.0
204,Thaddeus Young,13545000.0
205,Thaddeus Young,14190000.0
206,Tomas Satoransky,10000000.0
207,Tomas Satoransky,10000000.0
208,Troy Brown Jr,3372840.0
209,Troy Brown Jr,5170564.0
210,Troy Brown Jr,7228448.0
211,Zach LaVine,19500000.0
212,Zach LaVine,19500000.0
213,Andre Drummond,27957238.0
214,Cedi Osman,8840580.0
215,Cedi Osman,8133334.0
216,Cedi Osman,7426088.0
217,Cedi Osman,6718842.0
218,Collin Sexton,4991880.0
219,Collin Sexton,6349671.0
220,Collin Sexton,8559357.0
221,Damyean Dotson,2000000.0
222,Damyean Dotson,2000000.0
223,Darius Garland,6720720.0
224,Darius Garland,7040880.0
225,Darius Garland,8920795.0
226,Darius Garland,11828974.0
227,Dean Wade,1517981.0
228,Dean Wade,1782621.0
229,Dean Wade,1930681.0
230,Dylan Windler,2137440.0
231,Dylan Windler,2239200.0
232,Dylan Windler,4037278.0
233,Dylan Windler,5959022.0
234,Isaac Okoro,6400920.0
235,Isaac Okoro,6720720.0
236,Isaac Okoro,7040880.0
237,Isaac Okoro,8920795.0
238,Isaac Okoro,11828974.0
239,Isaiah Hartenstein,1620564.0
240,Isaiah Hartenstein,1762796.0
241,Jarrett Allen,3909902.0
242,Jarrett Allen,7705447.0
243,JR Smith,1456667.0
244,JR Smith,1456667.0
245,Kevin Love,31258256.0
246,Kevin Love,31258256.0
247,Kevin Love,28942830.0
248,Larry Nance Jr,11709091.0
249,Larry Nance Jr,10690909.0
250,Larry Nance Jr,9672727.0
251,Matthew Dellavedova,1620564.0
252,Quinn Cook,110998.0
253,Quinn Cook  E,110998.0
254,Rayjon Tucker,340000.0
255,Taurean Prince,12250000.0
256,Taurean Prince,13000000.0
257,Thon Maker,309355.0
258,Yogi Ferrell,110998.0
259,Boban Marjanovic,3500000.0
260,Dorian FinneySmith,4000000.0
261,Dorian FinneySmith,4000000.0
262,Dwight Powell,11080125.0
263,Dwight Powell,11080125.0
264,Dwight Powell,11080125.0
265,Jalen Brunson,1663861.0
266,Jalen Brunson,1802057.0
267,JJ Barea,1620564.0
268,JJ Redick,13013700.0
269,Josh Green,2816760.0
270,Josh Green,2957520.0
271,Josh Green,3098400.0
272,Josh Green,4765339.0
273,Josh Green,6762016.0
274,Josh Richardson,10865952.0
275,Josh Richardson,11615328.0
276,Kristaps Porzingis,29467800.0
277,Kristaps Porzingis,31650600.0
278,Kristaps Porzingis,33833400.0
279,Kristaps Porzingis,36016200.0
280,Luka Doncic,8049360.0
281,Luka Doncic,10174391.0
282,Luka Doncic,13348801.0
283,Maxi Kleber,8325000.0
284,Maxi Kleber,8825000.0
285,Maxi Kleber,9075000.0
286,Nicolo Melli,3897436.0
287,Nicolo Melli,4871795.0
288,Tim Hardaway Jr,18975000.0
289,Trey Burke,3000000.0
290,Trey Burke,3150000.0
291,Trey Burke,3300000.0
292,Tyrell Terry,1289846.0
293,Tyrell Terry,1617981.0
294,Tyrell Terry,1782981.0
295,Tyrell Terry,1930681.0
296,Willie CauleyStein,4100000.0
297,Willie CauleyStein,4100000.0
298,Aaron Gordon,18136364.0
299,Aaron Gordon,16409091.0
300,Bol Manute Bol,2058240.0
301,Bol Manute Bol,2161152.0
302,Bol Manute Bol,2701440.0
303,Facundo Campazzo,3200000.0
304,Facundo Campazzo,3200000.0
305,Facundo Campazzo,4000000.0
306,Gary Clark,2000000.0
307,Gary Clark,2100000.0
308,Jamal Murray,27285000.0
