,DISPLAY_FIRST_LAST,SCHOOL,COUNTRY,PTS,AST,REB,ALL_STAR_APPEARANCES,DRAFT_YEAR
2335,Emanuel Leaks,Niagara,USA,8.3,0.9,6.8,0.0,1968
2336,Hal Lear,Temple,USA,1.3,0.3,0.3,0.0,1956
2337,Allen Leavell,Oklahoma City,USA,9.5,4.8,1.7,0.0,1979
2338,Jeff Lebo,North Carolina,USA,1.5,0.8,1.0,0.0,Undrafted
2339,Eric Leckner,Wyoming,USA,4.1,0.5,3.2,0.0,1988
2340,Jalen Lecque,Brewster Academy (NH),USA,1.3,0.5,1.3,,Undrafted
2341,Ricky Ledo,Providence,USA,3.9,0.8,1.4,0.0,2013
2342,Butch Lee,Marquette,USA,8.1,3.2,1.4,0.0,1978
2343,Clyde Lee,Vanderbilt,USA,7.7,1.1,10.3,1.0,1966
2344,Courtney Lee,Western Kentucky,USA,9.6,1.7,2.6,0.0,2008
2345,Damion Lee,Louisville,USA,6.7,1.4,3.3,,Undrafted
2346,David Lee,Florida,USA,13.5,2.2,8.8,2.0,2005
2347,Doug Lee,Purdue,USA,2.3,0.4,0.6,0.0,1987
2348,George Lee,Michigan,USA,7.5,0.9,4.2,0.0,1959
2349,Greg Lee,UCLA,USA,1.2,2.2,0.4,0.0,1974
2350,Keith Lee,Memphis,USA,6.1,1.0,4.7,0.0,1985
2351,Kurk Lee,Towson,USA,1.4,0.7,0.6,0.0,Undrafted
2352,Malcolm Lee,UCLA,USA,3.9,1.4,1.8,0.0,2011
2353,Rock Lee,San Diego State,USA,1.0,1.0,0.5,0.0,Undrafted
2354,Ron Lee,Oregon,USA,7.3,3.8,2.7,0.0,1976
2355,Russell Lee,Marshall,USA,2.9,0.7,1.2,0.0,1972
2356,Ed Leede,Dartmouth,USA,7.8,1.9,2.1,0.0,1949
2357,Hank Lefkowitz,Case Western Reserve,USA,2.1,0.2,,0.0,Undrafted
